- Kategori: GAYA DADA | Pasal: 7.4 b | Deskripsi: Kedua siku tidak berada di bawah permukaan air (kecuali turn dan finish)
- Kategori: GAYA DADA | Pasal: 7.4 c | Deskripsi: Tarikan tangan ke belakang melebihi garis pinggang
- Kategori: GAYA DADA | Pasal: 7.5 a | Deskripsi: Kepala tidak memecah permukaan air selama satu siklus gerakan
- Kategori: GAYA DADA | Pasal: 7.5 b | Deskripsi: Gerakan tungkai tidak bersamaan (bergantian)
- Kategori: GAYA DADA | Pasal: 7.6 a | Deskripsi: Tendangan kaki tidak diputar keluar
- Kategori: GAYA DADA | Pasal: 7.6 b | Deskripsi: Melakukan gerakan tungkai kupu-kupu (fluter, crawl, variasi) saat lomba
- Kategori: GAYA DADA | Pasal: 7.6 c | Deskripsi: Melakukan gerakan tungkai kupu-kupu (fluter, crawl, variasi) setelah start
- Kategori: GAYA DADA | Pasal: 7.6 d | Deskripsi: Melakukan gerakan tungkai kupu-kupu (fluter, crawl, variasi) setelah pembalikan
- Kategori: GAYA DADA | Pasal: 7.6 e | Deskripsi: Melakukan gerakan tungkai kupu-kupu (fluter, crawl, variasi) sebelum finish
- Kategori: GAYA DADA | Pasal: 7.7 a | Deskripsi: Saat membalik, menyentuh dinding dengan tangan tidak terpisah (menumpuk)
- Kategori: GAYA DADA | Pasal: 7.7 b | Deskripsi: Saat membalik, menyentuh dinding dengan satu tangan
- Kategori: GAYA DADA | Pasal: 7.7 c | Deskripsi: Saat membalik, menyentuh dinding dengan tangan tidak bersamaan
- Kategori: GAYA DADA | Pasal: 7.7 d | Deskripsi: Saat membalik, menyentuh dinding dengan sentuhan kaki (salto)
- Kategori: GAYA DADA | Pasal: 7.7 e | Deskripsi: Saat finish, menyentuh dinding dengan tangan tidak terpisah (menumpuk)
- Kategori: GAYA DADA | Pasal: 7.7 f | Deskripsi: Saat finish, menyentuh dinding dengan satu tangan
- Kategori: GAYA DADA | Pasal: 7.7 g | Deskripsi: Saat finish, menyentuh dinding dengan tangan tidak bersamaan
- Kategori: GAYA DADA | Pasal: 7.7 h | Deskripsi: Selama siklus lengkap sebelum pembalikan, kepala tidak memecah permukaan air
- Kategori: GAYA DADA | Pasal: 7.7 1 | Deskripsi: Selama siklus lengkap sebelum finish, kepala tidak memecah permukaan air
- Kategori: GAYA KUPU-KUPU | Pasal: 11.8 | Deskripsi: Posisi badan tidak telungkup selama lomba
- Kategori: GAYA KUPU-KUPU | Pasal: 8.1 | Deskripsi: Posisi badan tidak telungkup selama lomba
- Kategori: GAYA KUPU-KUPU | Pasal: 8.2 | Deskripsi: Meninggalkan dinding setelah pembalikan tidak pada posisi telungkup
- Kategori: GAYA KUPU-KUPU | Pasal: 8.3 a | Deskripsi: Kedua lengan dibawa ke depan tidak bersamaan di atas air
- Kategori: GAYA KUPU-KUPU | Pasal: 8.3 b | Deskripsi: Kedua lengan dibawa ke depan tidak di atas permukaan air
- Kategori: GAYA KUPU-KUPU | Pasal: 8.3 c | Deskripsi: Kedua lengan ditarik ke belakang tidak bersamaan di bawah air
- Kategori: GAYA KUPU-KUPU | Pasal: 8.3 d | Deskripsi: Awal gerakan setelah start, lengan dibawa ke depan tidak dengan dua tangan
- Kategori: GAYA KUPU-KUPU | Pasal: 8.3 e | Deskripsi: Awal gerakan setelah pembalikan, lengan dibawa ke depan tidak dengan dua tangan
- Kategori: GAYA KUPU-KUPU | Pasal: 8.4 a | Deskripsi: Gerakan tungkai tidak bersamaan (bergantian/crawl)
- Kategori: GAYA KUPU-KUPU | Pasal: 8.4 b | Deskripsi: Tungkai melakukan gerakan lain (dada/crawl)
- Kategori: GAYA KUPU-KUPU | Pasal: 8.5 a | Deskripsi: Saat membalik, menyentuh dinding dengan tangan tidak terpisah
- Kategori: GAYA KUPU-KUPU | Pasal: 8.5 b | Deskripsi: Saat membalik, menyentuh dinding dengan satu tangan
- Kategori: GAYA KUPU-KUPU | Pasal: 8.5 c | Deskripsi: Saat membalik, menyentuh dinding dengan tangan tidak bersamaan
- Kategori: GAYA KUPU-KUPU | Pasal: 8.5 d | Deskripsi: Saat membalik, menyentuh dinding dengan sentuhan kaki (salto)
- Kategori: GAYA KUPU-KUPU | Pasal: 8.5 e | Deskripsi: Saat finish, menyentuh dinding dengan tangan tidak terpisah
- Kategori: GAYA KUPU-KUPU | Pasal: 8.5 f | Deskripsi: Saat finish, menyentuh dinding dengan satu tangan
- Kategori: GAYA KUPU-KUPU | Pasal: 8.5 g | Deskripsi: Saat finish, menyentuh dinding dengan tangan tidak bersamaan
- Kategori: GAYA KUPU-KUPU | Pasal: 8.6 α | Deskripsi: Bagian tubuh tidak memecah permukaan air selama lomba
- Kategori: GAYA KUPU-KUPU | Pasal: 8.6 b | Deskripsi: Setelah start, tarikan tangan pertama tidak membawa tubuh ke permukaan air
- Kategori: GAYA KUPU-KUPU | Pasal: 8.6 c | Deskripsi: Setelah pembalikan, tarikan tangan pertama tidak membawa tubuh ke permukaan air
- Kategori: GAYA KUPU-KUPU | Pasal: 8.6 d | Deskripsi: Melakukan Gerakan lengan lebih dari 1x di bawah air setelah start
- Kategori: GAYA KUPU-KUPU | Pasal: 8.6.e | Deskripsi: Melakukan Gerakan lengan lebih dari 1x di bawah air setelah pembalikan
